dish_id,cross_id,genotype,date_fertilized,date_created,initial_count,check_date,fish_deaths,cumulative_deaths,remaining,survival_rate,days_since_fertilization,status,termination_date,termination_reason,responsible,in_beaker,room,water_changed,vol_water_changed
14783_6,14783,Casper_HHMI,20250121,20250218,20,20250130,1,1,19,95.0,9,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_6,14783,Casper_HHMI,20250121,20250218,20,20250131,1,2,18,90.0,10,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_6,14783,Casper_HHMI,20250121,20250218,20,20250201,0,2,18,90.0,11,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_6,14783,Casper_HHMI,20250121,20250218,20,20250202,6,8,12,60.0,12,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_6,14783,Casper_HHMI,20250121,20250218,20,20250203,7,15,5,25.0,13,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_6,14783,Casper_HHMI,20250121,20250218,20,20250204,2,17,3,15.0,14,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_6,14783,Casper_HHMI,20250121,20250218,20,20250218,0,17,3,15.0,28,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,No,0
14783_7,14783,Casper_HHMI,20250121,20250218,60,20250128,0,0,60,100.0,7,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_7,14783,Casper_HHMI,20250121,20250218,60,20250129,0,0,60,100.0,8,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_7,14783,Casper_HHMI,20250121,20250218,60,20250130,0,0,60,100.0,9,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_7,14783,Casper_HHMI,20250121,20250218,60,20250131,0,0,60,100.0,10,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_7,14783,Casper_HHMI,20250121,20250218,60,20250201,0,0,60,100.0,11,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_7,14783,Casper_HHMI,20250121,20250218,60,20250202,4,4,56,93.33333333333333,12,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
