,dish_id,cross_id,genotype,date_fertilized,date_created,initial_count,check_date,fish_deaths,cumulative_deaths,remaining,survival_rate,days_since_fertilization,status,termination_date,termination_reason,responsible,in_beaker,vol_water_total,room,water_changed,vol_water_changed,date_fertilized_dt,date_created_dt,check_date_dt,termination_date_dt,mortality_rate,genotype_simple,fish_density,density_category,volume_per_fish
45,14783_1,14783,Casper_HHMI,20250121,20250218,13,20250202,5,6,7,53.84615384615385,12,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-21,2025-02-18,2025-02-02,2025-02-04,46.15384615384615,Casper,0.1625,Medium (4-8mL/fish),6.153846153846154
46,14783_1,14783,Casper_HHMI,20250121,20250218,13,20250203,0,6,7,53.84615384615385,13,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-21,2025-02-18,2025-02-03,2025-02-04,46.15384615384615,Casper,0.1625,Medium (4-8mL/fish),6.153846153846154
47,14783_1,14783,Casper_HHMI,20250121,20250218,13,20250204,0,6,7,53.84615384615385,14,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-21,2025-02-18,2025-02-04,2025-02-04,46.15384615384615,Casper,0.1625,Medium (4-8mL/fish),6.153846153846154
48,14783_2,14783,Casper_HHMI,20250121,20250218,20,20250128,0,0,20,100.0,7,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-21,2025-02-18,2025-01-28,2025-02-04,0.0,Casper,0.25,High (2-4mL/fish),4.0
49,14783_2,14783,Casper_HHMI,20250121,20250218,20,20250129,1,1,19,95.0,8,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-21,2025-02-18,2025-01-29,2025-02-04,5.0,Casper,0.25,High (2-4mL/fish),4.0
50,14783_2,14783,Casper_HHMI,20250121,20250218,20,20250130,2,3,17,85.0,9,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-21,2025-02-18,2025-01-30,2025-02-04,15.0,Casper,0.25,High (2-4mL/fish),4.0
51,14783_2,14783,Casper_HHMI,20250121,20250218,20,20250131,0,3,17,85.0,10,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-21,2025-02-18,2025-01-31,2025-02-04,15.0,Casper,0.25,High (2-4mL/fish),4.0
52,14783_2,14783,Casper_HHMI,20250121,20250218,20,20250201,0,3,17,85.0,11,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-21,2025-02-18,2025-02-01,2025-02-04,15.0,Casper,0.25,High (2-4mL/fish),4.0
53,14783_2,14783,Casper_HHMI,20250121,20250218,20,20250202,2,5,15,75.0,12,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-21,2025-02-18,2025-02-02,2025-02-04,25.0,Casper,0.25,High (2-4mL/fish),4.0
54,14783_2,14783,Casper_HHMI,20250121,20250218,20,20250203,2,7,13,65.0,13,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-21,2025-02-18,2025-02-03,2025-02-04,35.0,Casper,0.25,High (2-4mL/fish),4.0
